"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","message"
"1664",1664,"jeep","7037526514",203,1851,167,"2012-01-06","16:00:11","2012-01-06",5,"afternoon","photo",7,1,0,1,0,0,0,0,1,0,0,0,"we want to take some time to highlight the great photos you send us every week by spotlighting one noteworthy picture every friday. this week’s jeep fan photo of the week is courtesy of jeff erbert."
"1665",1665,"jeep","7037526514",35,606,35,"2012-01-05","16:30:03","2012-01-05",4,"afternoon","photo",5,1,1,0,1,1,0,1,1,1,0,1,"sometimes our fan photography is so good it could be hanging in a gallery: send us your best frame-worthy jeep photo! photo via flickr user geyergus."
"1666",1666,"jeep","7037526514",35,535,75,"2012-01-04","21:23:33","2012-01-04",3,"night","photo",16,6,2,6,0,2,4,2,7,0,2,4,"hey fans- we’re glad you’re so excited about the yeti dig! however, just posting “yeti” on the wall doesn’t enter you in for a chance to win a jeep wrangler arctic edition. it’s cool to try out your yeti hunting call in the presence of your fellow jeepers, but if you want to enter the sweepstakes you have to use the arctic yeti dig app found in the left sidebar.  or use this link:  happy hunting!"
"1667",1667,"jeep","7037526514",0,1680,170,"2012-01-04","16:00:01","2012-01-04",3,"afternoon","link",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the specialists at hennessey performance have developed a custom-tuned grand cherokee srt8 that can go from 0-60 in 3.1 seconds:"
"1668",1668,"jeep","7037526514",98,1347,146,"2012-01-03","22:00:03","2012-01-03",2,"night","photo",2,NA,0,1,0,0,0,1,0,0,1,0,"still haven't played our arctic yeti dig game? you have until 11:59 est tonight to dig for a chance to be sent to the 2012 winter x games. don't wait! "
"1669",1669,"jeep","7037526514",0,497,48,"2012-01-03","16:37:01","2012-01-03",2,"afternoon","link",NA,-2,0,0,0,0,0,1,0,0,0,1,"all it took was one drive to get british actor (and peter pan villian) chris ellison ""hooked"" on the jeep compass:"
"1670",1670,"jeep","7037526514",0,684,66,"2012-01-02","23:37:01","2012-01-02",1,"night","swf",NA,NA,0,0,0,0,0,0,0,0,1,0,"yeti spotted! will you be the one to catch him?"
"1671",1671,"jeep","7037526514",384,1845,130,"2012-01-02","21:31:27","2012-01-02",1,"night","video",NA,NA,0,0,0,0,0,0,1,0,0,0,"as we begin a new year check out how jeep has evolved throughout the decades in this video from motor trend magazine."
"1672",1672,"jeep","7037526514",130,1572,106,"2012-01-02","17:33:13","2012-01-02",1,"afternoon","photo",7,1,0,2,0,0,1,0,1,0,2,1,"you have until tomorrow night to be entered in for a chance to win a trip to the x games! play the arctic yeti dig game and share with your friends and you could be digging for a new jeep in aspen, co!()"
"1673",1673,"Kia","156773665364",0,12,11,"2012-03-12","18:23:21","2012-03-12",1,"afternoon","link",6,1,0,0,0,0,0,0,0,0,1,0,"what do you like to do in your city? tell us for a chance at some awesome prizes!"
"1674",1674,"Kia","156773665364",0,12,2,"2012-03-05","20:12:37","2012-03-05",1,"night","link",10,1,1,2,0,1,2,1,2,0,3,1,"play the perfect hoopz challenge on facebook and enter for a chance to win a blake griffin jersey and great weekly prizes. after you have the chance to sink some hoops, post your high score in the comments."
"1675",1675,"Kia","156773665364",18,54,12,"2012-03-02","23:09:22","2012-03-02",5,"night","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1676",1676,"Kia","156773665364",1,39,10,"2012-03-02","23:00:41","2012-03-02",5,"night","photo",22,9,2,5,0,0,5,3,11,2,3,4,"the third annual kia classic, from march 19-25, is attracting a strong field of lpga players who will compete for a $1.7 million purse with the winner taking home a first-place check for $255,000 and one of the first range-topping 2012 optima limited midsize sedans (pictured) to roll off the production line at kia’s u.s. manufacturing plant in west point, georgia. in addition to the kia classic winner, kia will honor the outstanding achievements of lpga players this season by presenting the winners of the kia performance award with an optima limited. kia motors is proud to be the official automotive partner of the lpga."
