"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","message","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative.x","positive.x","sadness","surprise","trust","constraining","litigious","negative.y","positive.y","uncertainty","n"
"2706",2706,"smartusa","118815077787",0,90,46,"2012-01-17","22:03:12","2012-01-17",2,"night","status","since smart is 85% recyclable, we wanted to know: how often do you recycle?  is it an important thing in your household?",1,1,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,5
"2707",2707,"smartusa","118815077787",0,14,1,"2012-01-17","17:22:25","2012-01-17",2,"afternoon","status","tx - houston - untestdrive event",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2708",2708,"smartusa","118815077787",0,5,0,"2012-01-17","17:13:39","2012-01-17",2,"afternoon","status","ca - san diego - untestdrive event",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2709",2709,"smartusa","118815077787",0,105,10,"2012-01-16","22:29:32","2012-01-16",1,"night","status","as someone who dared to challenge the status quo, we salute dr. martin luther king jr today.",-1,1,1,0,0,1,1,1,3,0,0,0,0,0,1,0,0,10
"2710",2710,"smartusa","118815077787",50,279,53,"2012-01-15","23:13:19","2012-01-15",7,"night","photo","tonight are the golden globe awards.  do you think we're runway ready?",3,3,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,6
"2711",2711,"smartusa","118815077787",0,41,19,"2012-01-14","23:26:56","2012-01-14",6,"night","status","heading to the north american international auto show in detroit this weekend?  stop by our booth and show us your smart key to score your very own smart bandana.",1,2,0,1,0,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,14
"2712",2712,"smartusa","118815077787",25,114,21,"2012-01-13","20:35:27","2012-01-13",5,"night","link","gym membership, smart phone, digital cable… what else can you get for $99 a month? now you can add a smart car to the list.  $99/mo for 36 months, with $999 due at signing.",2,2,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,19
"2713",2713,"smartusa","118815077787",0,32,15,"2012-01-13","14:48:15","2012-01-13",5,"afternoon","status","today is friday the 13th, a day filled with superstition and misconception. do you abide by any superstitions?  which ones are you weary of?",-2,-3,1,0,1,2,0,3,1,1,0,0,1,0,0,0,0,9
"2714",2714,"smartusa","118815077787",32,65,11,"2012-01-12","16:23:11","2012-01-12",4,"afternoon","video",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2715",2715,"smartusa","118815077787",0,257,21,"2012-01-11","23:09:54","2012-01-11",3,"night","photo","what is smart up to now? for every 50 likes, we’ll unpixelate a small section of the pic to give you another unbig hint. be creative and unboring with your answers. check back to see if you were spot on or way off.",5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14
"2716",2716,"smartusa","118815077787",15,123,24,"2012-01-10","22:47:35","2012-01-10",2,"night","photo","we're going to be at the north american international auto show in detroit this week. the show opens to the public on saturday the 14th, but here are some sneak peek photos of the smart booth at the event (and the new for-us concept).  stop by our booth and show us the key to your smart car and we'll reward you with a smart bandanna.",4,3,1,2,0,1,1,1,2,0,2,1,0,0,0,1,0,24
"2717",2717,"smartusa","118815077787",0,16,5,"2012-01-09","21:31:50","2012-01-09",1,"night","photo","here are some photos from our untestdrive events this past weekend in la and orlando.  did you stop by and take a smart for a spin?",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
